{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 44506, 'dest_port': 9999, 'timestamp': '2023-06-14 20:26:40', 'total_length': 74, 'cache_flag': False, 'steps_flag': True, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': }
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 44506, 'dest_port': 9999, 'timestamp': '2023-06-14 20:26:40', 'total_length': 74, 'cache_flag': False, 'steps_flag': True, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': }
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 9999, 'dest_port': 44506, 'timestamp': '2023-06-14 20:26:40', 'total_length': 74, 'cache_flag': False, 'steps_flag': True, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': }
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 9999, 'dest_port': 44506, 'timestamp': '2023-06-14 20:26:40', 'total_length': 74, 'cache_flag': False, 'steps_flag': True, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': }
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 44506, 'dest_port': 9999, 'timestamp': '2023-06-14 20:26:40', 'total_length': 66, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': }
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 44506, 'dest_port': 9999, 'timestamp': '2023-06-14 20:26:40', 'total_length': 66, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': }
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 44506, 'dest_port': 9999, 'timestamp': '2023-06-14 20:26:40', 'total_length': 614, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': <Raw  load='d\x89\xf8P\x02$\x1c\x00\xff\xff\x00\x00\x80\x04\x95\r\x02\x00\x00\x00\x00\x00\x00\x8c\ncalculator\x94\x8c\nBinaryExpr\x94\x93\x94)\x81\x94}\x94(\x8c\x0cleft_operand\x94h\x00\x8c\x08Constant\x94\x93\x94)\x81\x94}\x94\x8c\x05value\x94K\x03sb\x8c\x08operator\x94h\x00\x8c\x0eBinaryOperator\x94\x93\x94)\x81\x94}\x94(\x8c\x06symbol\x94\x8c\x01+\x94\x8c\x08function\x94\x8c\t_operator\x94\x8c\x03add\x94\x93\x94\x8c\rassociativity\x94h\x00\x8c\rAssociativity\x94\x93\x94K\x00\x85\x94R\x94ub\x8c\rright_operand\x94h\x02)\x81\x94}\x94(h\x05h\x02)\x81\x94}\x94(h\x05h\x07)\x81\x94}\x94h\nK\x04sbh\x0bh\r)\x81\x94}\x94(h\x10\x8c\x01*\x94h\x12h\x13\x8c\x03mul\x94\x93\x94h\x16h\x1aubh\x1bh\x07)\x81\x94}\x94h\nK\x02sbubh\x0bh\r)\x81\x94}\x94(h\x10\x8c\x01/\x94h\x12h\x13\x8c\x07truediv\x94\x93\x94h\x16h\x1aubh\x1bh\x02)\x81\x94}\x94(h\x05h\x02)\x81\x94}\x94(h\x05h\x07)\x81\x94}\x94h\nK\x01sbh\x0bh\r)\x81\x94}\x94(h\x10\x8c\x01-\x94h\x12h\x13\x8c\x03sub\x94\x93\x94h\x16h\x1aubh\x1bh\x07)\x81\x94}\x94h\nK\x05sbubh\x0bh\r)\x81\x94}\x94(h\x10\x8c\x02**\x94h\x12h\x13\x8c\x03pow\x94\x93\x94h\x16h\x18K\x01\x85\x94R\x94ubh\x1bh\x02)\x81\x94}\x94(h\x05h\x07)\x81\x94}\x94h\nK\x02sbh\x0bh;h\x1bh\x07)\x81\x94}\x94h\nK\x03sbubububub.' |>}
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 44506, 'dest_port': 9999, 'timestamp': '2023-06-14 20:26:40', 'total_length': 614, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': <Raw  load='d\x89\xf8P\x02$\x1c\x00\xff\xff\x00\x00\x80\x04\x95\r\x02\x00\x00\x00\x00\x00\x00\x8c\ncalculator\x94\x8c\nBinaryExpr\x94\x93\x94)\x81\x94}\x94(\x8c\x0cleft_operand\x94h\x00\x8c\x08Constant\x94\x93\x94)\x81\x94}\x94\x8c\x05value\x94K\x03sb\x8c\x08operator\x94h\x00\x8c\x0eBinaryOperator\x94\x93\x94)\x81\x94}\x94(\x8c\x06symbol\x94\x8c\x01+\x94\x8c\x08function\x94\x8c\t_operator\x94\x8c\x03add\x94\x93\x94\x8c\rassociativity\x94h\x00\x8c\rAssociativity\x94\x93\x94K\x00\x85\x94R\x94ub\x8c\rright_operand\x94h\x02)\x81\x94}\x94(h\x05h\x02)\x81\x94}\x94(h\x05h\x07)\x81\x94}\x94h\nK\x04sbh\x0bh\r)\x81\x94}\x94(h\x10\x8c\x01*\x94h\x12h\x13\x8c\x03mul\x94\x93\x94h\x16h\x1aubh\x1bh\x07)\x81\x94}\x94h\nK\x02sbubh\x0bh\r)\x81\x94}\x94(h\x10\x8c\x01/\x94h\x12h\x13\x8c\x07truediv\x94\x93\x94h\x16h\x1aubh\x1bh\x02)\x81\x94}\x94(h\x05h\x02)\x81\x94}\x94(h\x05h\x07)\x81\x94}\x94h\nK\x01sbh\x0bh\r)\x81\x94}\x94(h\x10\x8c\x01-\x94h\x12h\x13\x8c\x03sub\x94\x93\x94h\x16h\x1aubh\x1bh\x07)\x81\x94}\x94h\nK\x05sbubh\x0bh\r)\x81\x94}\x94(h\x10\x8c\x02**\x94h\x12h\x13\x8c\x03pow\x94\x93\x94h\x16h\x18K\x01\x85\x94R\x94ubh\x1bh\x02)\x81\x94}\x94(h\x05h\x07)\x81\x94}\x94h\nK\x02sbh\x0bh;h\x1bh\x07)\x81\x94}\x94h\nK\x03sbubububub.' |>}
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 9999, 'dest_port': 44506, 'timestamp': '2023-06-14 20:26:40', 'total_length': 66, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': }
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 9999, 'dest_port': 44506, 'timestamp': '2023-06-14 20:26:40', 'total_length': 66, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': }
{'source_ip': '127.0.0.1', 'dest_ip': '127.0.0.1', 'source_port': 9999, 'dest_port': 44506, 'timestamp': '2023-06-14 20:26:40', 'total_length': 288, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': <Raw  load='d\x89\xf8P\x00\xde\x18\xc8\xff\xff\x00\x00\x80\x04\x95\xc7\x00\x00\x00\x00\x00\x00\x00G@\x08\x00@\x00\x00\x00\x00]\x94(\x8c%3 + ((4 * 2) / ((1 - 5) ** (2 ** 3)))\x94\x8c\x1f3 + (8 / ((1 - 5) ** (2 ** 3)))\x94\x8c\x1a3 + (8 / (-4 ** (2 ** 3)))\x94\x8c\x133 + (8 / (-4 ** 8))\x94\x8c\x0f3 + (8 / 65536)\x94\x8c\x133 + 0.0001220703125\x94\x8c\x0f3.0001220703125\x94e\x86\x94.' |>}
